Test No,Pin No,Mating Pin,Connectors,Part No,Harness,Harness Name
T1,T1A1,1,MB2FA,C25NT10149,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1A2,2,MB2FA,C25NT10149,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1A3,3,MB2FA,C25NT10149,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1A4,4,MB2FA,C25NT10149,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1A5,5,MB2FA,C25NT10149,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1A6,15,MB2FA,C25NT10149,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1A7,16,MB2FA,C25NT10149,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1A8,19,MB2FA,C25NT10149,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1A9,20,MB2FA,C25NT10149,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1A10,21,MB2FA,C25NT10149,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1A11,22,MB2FA,C25NT10149,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1A12,23,MB2FA,C25NT10149,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1A13,,,,,
T1,T1A14,,,,,
T1,T1A15,,,,,
T1,T1A16,,,,,
T1,T1A17,,,,,
T1,T1A18,,,,,
T1,T1A19,,,,,
T1,T1A20,,,,,
T1,T1A21,,,,,
T1,T1A22,,,,,
T1,T1A23,,,,,
T1,T1A24,,,,,
T1,T1A25,,,,,
T1,T1B1,1,"MB2FB
",C25NT10150,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1B2,2,,,,
T1,T1B3,7,,,,
T1,T1B4,9,,,,
T1,T1B5,10,,,,
T1,T1B6,11,,,,
T1,T1B7,14,,,,
T1,T1B8,16,,,,
T1,T1B9,17,,,,
T1,T1B10,18,,,,
T1,T1B11,22,,,,
T1,T1B12,24,,,,
T1,T1B13,25,,,,
T1,T1B14,,,,,
T1,T1B15,,,,,
T1,T1B16,,,,,
T1,T1B17,,,,,
T1,T1B18,,,,,
T1,T1B19,,,,,
T1,T1B20,,,,,
T1,T1B21,,,,,
T1,T1B22,,,,,
T1,T1B23,,,,,
T1,T1B24,,,,,
T1,T1B25,,,,,
T1,T1C1,1,EDC BULKHEAD TO FRAME,C15NT10242,FEM00399,EDC CAB - WIRING HARNESS
T1,T1C2,2,EDC BULKHEAD TO FRAME,C15NT10242,FEM00399,EDC CAB - WIRING HARNESS
T1,T1C3,5,EDC BULKHEAD TO FRAME,C15NT10242,FEM00399,EDC CAB - WIRING HARNESS
T1,T1C4,10,EDC BULKHEAD TO FRAME,C15NT10242,FEM00399,EDC CAB - WIRING HARNESS
T1,T1C5,1,MB2FC,C2NT10194 ,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1C6,2,MB2FC,C2NT10194 ,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T1,T1C7,,,,,
T1,T1C8,,,,,
T1,T1C9,,,,,
T1,T1C10,,,,,
T1,T1C11,,,,,
T1,T1C12,,,,,
T1,T1C13,,,,,
T1,T1C14,1,LOOSE WIRES WITH PINS,,,
T1,T1C15,1,LOOSE WIRES WITH PINS,,,
T1,T1C16,1,LOOSE WIRES WITH PINS,,,
T1,T1C17,1,LOOSE WIRES WITH PINS,,,
T1,T1C18,1,LOOSE WIRES WITH CLIPS,,,
T1,T1C19,1,LOOSE WIRES WITH CLIPS,,,
T1,T1C20,1,LOOSE WIRES WITH CLIPS,,,
T1,T1C21,,,,,
T1,T1C22,,,,,
T1,T1C23,,,,,
T1,T1C24,,,,,
T1,T1C25,,,,,
T1,T1D1,1,INLINE GEAR BOX TO FRAME,C15WR10152 ,FAG12400,9 SPEED GEAR BOX HARNESS FOR MCSO MODELS
T1,T1D2,3,INLINE GEAR BOX TO FRAME,C15WR10152 ,FAG12400,9 SPEED GEAR BOX HARNESS FOR MCSO MODELS
T1,T1D3,4,INLINE GEAR BOX TO FRAME,C15WR10152 ,FAG12400,9 SPEED GEAR BOX HARNESS FOR MCSO MODELS
T1,T1D4,5,INLINE GEAR BOX TO FRAME,C15WR10152 ,FAG12400,9 SPEED GEAR BOX HARNESS FOR MCSO MODELS
T1,T1D5,6,INLINE GEAR BOX TO FRAME,C15WR10152 ,FAG12400,9 SPEED GEAR BOX HARNESS FOR MCSO MODELS
T1,T1D6,7,INLINE GEAR BOX TO FRAME,C15WR10152 ,FAG12400,9 SPEED GEAR BOX HARNESS FOR MCSO MODELS
T1,T1D7,10,INLINE GEAR BOX TO FRAME,C15WR10152 ,FAG12400,9 SPEED GEAR BOX HARNESS FOR MCSO MODELS
T1,T1D8,1,INLINE CAB TILT TO FRAME,C15WR10152 ,FAG04599,CAB TILT REAR BRIDGE HARNESS WDL
T1,T1D9,3,INLINE CAB TILT TO FRAME,C15WR10152 ,FAG04599,CAB TILT REAR BRIDGE HARNESS WDL
T1,T1D10,4,INLINE CAB TILT TO FRAME,C15WR10152 ,FAG04599,CAB TILT REAR BRIDGE HARNESS WDL
T1,T1D11,5,INLINE CAB TILT TO FRAME,C15WR10152 ,FAG04599,CAB TILT REAR BRIDGE HARNESS WDL
T1,T1D12,6,INLINE CAB TILT TO FRAME,C15WR10152 ,FAG04599,CAB TILT REAR BRIDGE HARNESS WDL
T1,T1D13,7,INLINE CAB TILT TO FRAME,C15WR10152 ,FAG04599,CAB TILT REAR BRIDGE HARNESS WDL
T1,T1D14,11,INLINE CAB TILT TO FRAME,C15WR10152 ,FAG04599,CAB TILT REAR BRIDGE HARNESS WDL
T1,T1D15,12,INLINE CAB TILT TO FRAME,C15WR10152 ,FAG04599,CAB TILT REAR BRIDGE HARNESS WDL
T1,T1D16,1,LOOSE WIRES WITH PINS,,,
T1,T1D17,1,LOOSE WIRES WITH PINS,,,
T1,T1D18,1,LOOSE WIRES WITH PINS,,,
T1,T1D19,1,LOOSE WIRES WITH PINS,,,
T1,T1D20,1,LOOSE WIRES WITH PINS,,,
T1,T1D21,,,,,
T1,T1D22,,,,,
T1,T1D23,1,IFWP,C3WT10043,FAG04099,WIFS PIGTAIL - CB18
T1,T1D24,2,IFWP,C3WT10043,FAG04099,WIFS PIGTAIL - CB18
T1,T1D25,3,IFWP,C3WT10043,FAG04099,WIFS PIGTAIL - CB18
T1,T1E1,A3,MUX CONNECTOR,,,
T1,T1E2,B1,MUX CONNECTOR,,,
T1,T1E3,B3,MUX CONNECTOR,,,
T1,T1E4,D1,MUX CONNECTOR,,,
T1,T1E5,E1,MUX CONNECTOR,,,
T1,T1E6,E2,MUX CONNECTOR,,,
T1,T1E7,E3,MUX CONNECTOR,,,
T1,T1E8,F1,MUX CONNECTOR,,,
T1,T1E9,F3,MUX CONNECTOR,,,
T1,T1E10,G2,MUX CONNECTOR,,,
T1,T1E11,G3,MUX CONNECTOR,,,
T1,T1E12,H3,MUX CONNECTOR,,,
T1,T1E13,J1,MUX CONNECTOR,,,
T1,T1E14,K1,MUX CONNECTOR,,,
T1,T1E15,L1,MUX CONNECTOR,,,
T1,T1E16,L2,MUX CONNECTOR,,,
T1,T1E17,L3,MUX CONNECTOR,,,
T1,T1E18,L4,MUX CONNECTOR,,,
T1,T1E19,M1,MUX CONNECTOR,,,
T1,T1E20,M2,MUX CONNECTOR,,,
T1,T1E21,M3,MUX CONNECTOR,,,
T1,T1E22,M4,MUX CONNECTOR,,,
T1,T1E23,1,LOOSE WIRES WITH CLIPS,,,
T1,T1E24,1,LOOSE WIRES WITH CLIPS,,,
T1,T1E25,1,LOOSE WIRES WITH CLIPS,,,
T2,T2A1,1,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A2,2,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A3,4,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A4,5,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A5,6,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A6,7,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A7,8,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A8,9,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A9,10,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A10,12,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A11,13,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A12,16,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A13,17,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A14,18,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A15,21,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A16,22,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A17,23,MB2MEA,C25NT10147,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2A18,1,IE2ME,C6NT10458,FEM00399,EDC CAB - WIRING HARNESS
T2,T2A19,2,IE2ME,C6NT10458,FEM00399,EDC CAB - WIRING HARNESS
T2,T2A20,3,IE2ME,C6NT10458,FEM00399,EDC CAB - WIRING HARNESS
T2,T2A21,,,,,
T2,T2A22,,,,,
T2,T2A23,,,,,
T2,T2A24,,,,,
T2,T2A25,,,,,
T2,T2B1,1,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B2,2,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B3,3,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B4,4,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B5,5,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B6,6,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B7,7,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B8,8,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B9,10,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B10,11,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B11,12,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B12,14,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B13,15,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B14,16,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B15,17,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B16,18,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B17,19,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B18,20,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B19,21,MB2MEB,C25NT10148,FMX03799,CAB WDL STD RHD - WIRING HARNESS
T2,T2B20,,,,,
T2,T2B21,,,,,
T2,T2B22,,,,,
T2,T2B23,,,,,
